;C_p_expect (J/mol/K);N_eff;Vol_expect (mL/mol);dC_p_expect (J/mol/K);dVol_expect (mL/mol);epsilon values;rmin_half values
227;68.8871987573;37.2960278853;111.230736159;8.48581035793;37.8891337751;0.1034;1.90333333333
228;75.1759715645;63.4536840406;111.20100536;8.02084621794;37.1267294343;0.1034;1.90566666667
229;81.1617804956;98.6757197437;111.166664303;7.92244148357;37.953282625;0.1034;1.908
230;69.0497898552;44.8145811803;111.03542067;8.06865794401;40.5113257665;0.1046;1.901
231;75.6588420121;79.6695190922;110.985580037;7.35731623548;35.4958012598;0.1046;1.90333333333
232;81.8621570243;137.427117469;110.931106685;6.83542729404;32.3088047897;0.1046;1.90566666667
233;87.3514387439;212.800907355;110.870600501;6.62614090044;30.8272946322;0.1046;1.908
234;76.0084157552;103.539787451;110.75826255;6.75125248153;35.2800871472;0.1058;1.901
235;82.1590421474;186.867181214;110.686216796;6.04588138036;29.226749369;0.1058;1.90333333333
236;87.3880482107;316.657358663;110.608364934;5.56924345968;25.1727018087;0.1058;1.90566666667
237;91.4637381875;476.990448752;110.524292132;5.34918306464;22.7443047264;0.1058;1.908
238;90.970589329;1996.0;109.326523237;2.88730150315;9.52239854677;0.1094;1.908
239;103.892232146;297.248177486;110.070474559;8.5659154821;49.6888269677;0.1058;1.92
240;107.595993522;173.097176539;110.012967775;11.4312927246;69.7360830003;0.1058;1.922
241;112.042205029;101.752727851;109.963393922;15.0801217971;93.349958847;0.1058;1.924
242;116.716860991;62.5448203456;109.919282434;19.2962388979;117.873910098;0.1058;1.926
243;98.2364557201;472.683571567;109.595047059;7.32026668869;33.355945241;0.107;1.92
244;99.5218716418;273.93317172;109.514110862;9.71760831056;43.6877370793;0.107;1.922
245;100.381584481;152.654098283;109.44067677;12.7201348988;54.6493781261;0.107;1.924
246;100.232750535;84.9766882908;109.376755982;16.1810308256;64.7874263622;0.107;1.926
247;92.0647386874;405.992122285;109.157586834;5.91127119936;22.0957629745;0.1082;1.92
248;90.898757426;222.623997531;109.08007328;7.49068742917;27.301637919;0.1082;1.922
249;88.721930146;121.330400516;109.016615521;9.43118530924;33.318709872;0.1082;1.924
250;85.3465790674;68.1110107251;108.970117351;11.6479796077;40.2625413257;0.1082;1.926
251;87.2171562725;268.035515647;108.780888444;5.85202889294;21.5045893309;0.1094;1.92
252;84.6135233695;155.069411531;108.725243044;7.12817964482;26.9245394648;0.1094;1.922
253;81.1279551664;91.618049238;108.688034213;8.65309261124;34.083136177;0.1094;1.924
254;76.8539056605;56.1242044776;108.670187063;10.3726564557;43.0851728506;0.1094;1.926
255;90.9705893304;1996.0;109.326523237;2.88730150308;9.52239854677;0.1094;1.908
256;91.4637382089;476.990449205;110.524292133;5.34918306432;22.7443047045;0.1058;1.908
257;94.0450179486;610.982526428;110.447722298;5.29260541448;21.4811469513;0.1058;1.91
258;95.9586215107;713.238144833;110.368289587;5.29418179087;20.8970930765;0.1058;1.912
259;97.5069084601;743.872536469;110.288107657;5.3764956876;21.7401200913;0.1058;1.914
260;92.9261561805;993.221605984;110.140269072;4.23188908819;15.758011451;0.107;1.908
261;94.0493844674;1199.64685112;110.049482928;4.09605942229;14.6445665098;0.107;1.91
262;94.7365891622;1303.32816185;109.956959695;4.03687838432;14.364007793;0.107;1.912
263;95.2962758954;1253.10014284;109.863914363;4.14557769374;15.4953012;0.107;1.914
264;92.3119541371;1662.0377441;109.735432421;3.34941919358;11.2320517796;0.1082;1.908
265;92.5158147188;1799.57118533;109.636540345;3.22765600943;10.7260843089;0.1082;1.91
266;92.559953614;1732.75492967;109.536997387;3.23543880418;10.9602185786;0.1082;1.912
267;92.5888071257;1469.2251744;109.437636462;3.43810465309;12.1245940714;0.1082;1.914
268;90.9705893549;1996.0;109.326523237;2.88730150729;9.52239855191;0.1094;1.908
269;90.9143594483;1878.73355486;109.225408945;2.92247399368;9.78285024391;0.1094;1.91
270;90.7902053823;1563.70898678;109.12548979;3.11706875957;10.662197373;0.1094;1.912
271;90.539096124;1151.1949009;109.028270339;3.48874213038;12.1973079741;0.1094;1.914
272;90.9705893294;1996.0;109.326523237;2.88730150308;9.52239854679;0.1094;1.908
273;39.764390895;4.49285370717;111.450815996;11.6625983196;37.3025701264;0.1022;1.894
274;45.104282807;5.87337421642;111.441165231;11.3912012746;36.9421253674;0.1022;1.89633333333
275;50.8499767428;8.2099490644;111.432628294;10.8431923808;36.2347473131;0.1022;1.89866666667
276;56.7938183563;12.360021366;111.425706983;10.0993909676;35.8276684015;0.1022;1.901
277;44.6014118152;6.55537805871;111.333591385;10.7917793151;48.7665562647;0.1034;1.894
278;50.1783656788;9.11251270419;111.309198323;10.4292661629;46.5900501915;0.1034;1.89633333333
279;56.1955962563;13.6212787033;111.283885932;9.86572762302;43.5162847709;0.1034;1.89866666667
280;62.4942114482;21.924844277;111.25789121;9.16769443112;40.2741871354;0.1034;1.901
281;49.9861860719;10.8968906948;111.167248875;9.73971804499;57.9817859215;0.1046;1.894
282;55.9508475162;16.2530781118;111.125896135;9.35651166509;52.7838289765;0.1046;1.89633333333
283;62.3790870712;26.1044172942;111.081960708;8.78150687552;46.6430064182;0.1046;1.89866666667
284;69.049789888;44.8145813254;111.035420665;8.06865797657;40.5113255687;0.1046;1.901
